cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 22.11115
idle,5.955342,0.1406479,0.2413937,0.1616896,1.111105E+14,3.263419
-1.5,-2.576232,-0.1389703,-0.4065005,-0.2009129,-2.761986E+14,-1.469783
-1.25,-0.389158,-0.01329479,-0.002300322,-0.02079403,-4.531862E+13,-0.2257273
-1,1.797917,0.1123807,0.4018998,0.1593248,1.855614E+14,1.018328
-0.75,3.984991,0.2380562,0.8061,0.3394436,4.164413E+14,2.262383
-0.5,6.76352,0.3292956,1.062789,0.4497962,5.836751E+14,3.863992
-0.25,8.32956,0.389348,0.8385231,0.4956411,6.642329E+14,4.735249
0,12.58213,0.4284569,0.7813259,0.5850523,8.026378E+14,7.191719
0.25,19.62311,0.5647688,1.416378,0.8449895,1.152981E+15,11.22942
0.5,27.78785,0.6734931,1.878894,1.178246,1.543017E+15,15.98242
0.75,40.30426,0.7420521,2.544242,1.590989,2.014126E+15,23.28452
1,58.02473,0.7680771,3.155005,2.063316,2.589906E+15,33.76013
1.25,79.04489,0.8196165,2.823195,2.329949,2.995602E+15,46.12777
1.5,97.38378,0.9033943,1.988912,2.69727,3.524081E+15,57.3409
1.75,112.9292,0.9568881,1.74368,2.874488,3.961159E+15,66.59665
2,140.8948,1.026206,2.155553,3.014926,4.624136E+15,83.28246
2.25,165.7707,1.039235,8.567539,2.731716,4.229687E+15,97.15863
2.5,227.8597,1.048754,13.83295,2.359693,3.676876E+15,131.9496
2.75,253.1145,1.164797,3.480716,2.650474,4.510258E+15,147.7743
3,269.503,1.312524,2.388683,3.925892,5.253795E+15,158.6066
3.25,278.0219,1.40402,2.06147,4.675897,5.935875E+15,164.2055
3.5,286.5407,1.495517,1.734256,5.425901,6.617955E+15,169.8044
3.75,295.0596,1.587013,1.407043,6.175906,7.300035E+15,175.4033
4,303.5785,1.678509,1.079829,6.925911,7.982115E+15,181.0022
4.25,312.0973,1.770006,0.7526155,7.675916,8.664195E+15,186.601
4.5,320.6162,1.861502,0.4254019,8.42592,9.346275E+15,192.1999
4.75,329.135,1.952998,0.0981884,9.175925,1.002836E+16,197.7988
5,337.6539,2.044495,-0.2290251,9.92593,1.071044E+16,203.3977
5.25,346.1728,2.135991,-0.5562387,10.67593,1.139252E+16,208.9965
5.5,354.6916,2.227487,-0.8834522,11.42594,1.20746E+16,214.5954
5.75,363.2105,2.318983,-1.210666,12.17594,1.275668E+16,220.1943
6,371.7293,2.41048,-1.537879,12.92595,1.343876E+16,225.7932
