cp_norm(drive),NOx,HC,CO,PM,PN,NO
[-],[g/h],[g/h],[g/h],[g/h],[#/h],[g/h]
Pdrive (Engine)= 19.39067
idle,0.2311569,0.06580319,1.57672,0.0005531011,3.260417E+12,0.2195989
-1.5,0.3098871,0.05490542,16.24198,0.1208655,5.262424E+13,0.2943927
-1.25,0.2780301,0.06236606,11.80099,0.08224616,3.909569E+13,0.2641286
-1,0.2461731,0.0698267,7.359998,0.0436268,2.556714E+13,0.2338644
-0.75,0.214316,0.07728734,2.919005,0.005007447,1.203859E+13,0.2036003
-0.5,0.4842853,0.1181871,4.410676,0.009723747,1.518959E+13,0.4600711
-0.25,0.7335005,0.160183,7.348531,0.008589056,1.449587E+13,0.6968251
0,1.027868,0.1308419,6.967961,0.01039302,1.371341E+13,0.9764751
0.25,1.879347,0.1673481,8.292696,0.0111202,1.944705E+13,1.78538
0.5,2.755008,0.2400655,10.51681,0.02782438,3.09744E+13,2.617256
0.75,4.158228,0.4294027,21.32977,0.1036785,6.424386E+13,3.950318
1,6.191795,0.776246,47.51457,0.2247769,1.031063E+14,5.882205
1.25,10.13954,1.374057,106.1412,0.3900392,1.611524E+14,9.632558
1.5,12.61938,2.230839,199.4636,0.5781541,2.525558E+14,11.98842
1.75,13.94988,2.562111,215.1183,0.7788944,3.76344E+14,13.25239
2,18.94407,3.035618,303.0314,1.404961,7.892802E+14,17.99687
2.25,19.77032,3.542301,424.2019,2.518004,1.084592E+15,18.78181
2.5,22.55479,6.882059,956.8351,3.546072,1.275273E+15,21.42705
2.75,26.3791,8.126064,1536.675,3.824628,1.386037E+15,25.06014
3,30.20341,9.37007,2116.515,4.103183,1.496801E+15,28.69324
3.25,34.02771,10.61407,2696.355,4.381738,1.607565E+15,32.32632
3.5,37.85201,11.85808,3276.196,4.660293,1.71833E+15,35.95941
3.75,41.67632,13.10209,3856.036,4.938848,1.829094E+15,39.5925
4,45.50062,14.34609,4435.876,5.217402,1.939858E+15,43.22559
4.25,49.32492,15.5901,5015.716,5.495957,2.050622E+15,46.85867
4.5,53.14922,16.8341,5595.557,5.774512,2.161387E+15,50.49176
4.75,56.97353,18.07811,6175.397,6.053067,2.272151E+15,54.12485
5,60.79783,19.32211,6755.237,6.331622,2.382915E+15,57.75793
5.25,64.62213,20.56612,7335.078,6.610177,2.493679E+15,61.39102
5.5,68.44643,21.81012,7914.918,6.888732,2.604444E+15,65.02411
5.75,72.27074,23.05413,8494.758,7.167287,2.715208E+15,68.6572
6,76.09504,24.29813,9074.598,7.445842,2.825972E+15,72.29028
