c P_norm(drive),NOx,CO,HC,PM,PN
[-],[g/h],[g/h],[g/h],[g/h],[#/h]
Pdrive (Engine) = 28.3103583893115,Extrapolation: Pe: -1.5 - -0.5; 3.75 - 6
idle,9.06432648272737,0.357760059317973,0.164169483284236,0.266397718268734,156412494099671
-1.5,0,0,0,0,0
-1.25,0,0,0,0,0
-1,0,0,0,0,0
-0.75,0,0,0,0,0
-0.5,0,0,0,0,0
-0.25,11.8824606483213,0.81069276588593,0.509192424992413,0.6353503433556,917792965774744
0,13.131429010132,0.741396695667247,0.452130049529819,0.609958203854393,834605620751325
0.25,24.4793077456132,1.1164866277286,0.640181188699045,0.970105291513455,1.34823826468021E+15
0.5,39.0629181394659,1.39107731394081,0.75047740791241,1.42954839463277,1.88715212774197E+15
0.75,55.5906997590845,2.01893416421071,0.779320532959466,1.9022726915236,2.44866361963758E+15
1,85.9986017564534,2.16581762302967,0.835555358993672,2.33400714845716,3.10901583877724E+15
1.25,115.038867453334,2.39316450830731,0.929353728243044,2.62919751282586,3.62268041945137E+15
1.5,161.536307410968,2.10596252234014,1.07690771252662,3.05408799576176,4.53367925495593E+15
1.75,225.299392838374,2.40090833492176,1.19110613217009,3.35412948769544,5.17756796761495E+15
2,289.101854393629,2.67408503209523,1.26970076802246,3.8969494275971,5.80606809945448E+15
2.25,335.74916899493,2.18786601997311,1.35011066559647,4.72207007884611,6.21913530100868E+15
2.5,384.24087417806,2.11999545739539,1.43287021335966,5.97702035984034,6.50259790994986E+15
2.75,433.644176443069,2.22478200706478,1.53146557315738,7.65275148276547,7.1535000299407E+15
3,479.21075446342,2.33990151691078,1.63199533053284,8.37728285807883,7.73868976130352E+15
3.25,526.645924682771,2.45479648607564,1.73043566487116,8.9798923660614,8.26703568034518E+15
3.5,613.044740936257,2.5845474548639,1.81288960073319,9.7538271228699,8.83224129066266E+15
3.75,656.833651003133,2.76915798735417,1.94238171507128,10.4505290602178,9.46311566856713E+15
4,700.622561070009,2.95376851984445,2.07187382940936,11.1472309975656,1.00939900464716E+16
4.25,744.411471136884,3.13837905233473,2.20136594374745,11.8439329349135,1.07248644243761E+16
4.5,788.20038120376,3.32298958482501,2.33085805808553,12.5406348722613,1.13557388022806E+16
4.75,831.989291270635,3.50760011731529,2.46035017242362,13.2373368096092,1.1986613180185E+16
5,875.778201337511,3.69221064980557,2.5898422867617,13.934038746957,1.26174875580895E+16
5.25,919.567111404386,3.87682118229584,2.71933440109979,14.6307406843049,1.3248361935994E+16
5.5,963.356021471262,4.06143171478612,2.84882651543787,15.3274426216527,1.38792363138985E+16
5.75,1007.14493153814,4.2460422472764,2.97831862977596,16.0241445590006,1.45101106918029E+16
6,1050.93384160501,4.43065277976668,3.10781074411404,16.7208464963484,1.51409850697074E+16
