c P_norm(drive),NOx,CO,HC,PM,PN
[-],[g/h],[g/h],[g/h],[g/h],[#/h]
Pdrive (Engine) = 22.6394794789044,Extrapolation: Pe: -1.5 - -0.75; 4 - 6
idle,0.281674923738711,1.78312207541038,0.0447009085965608,0.00502754187370116,4085663271035.5
-1.5,0,0,0,0,0
-1.25,0,0,0,0,0
-1,0,0,0,0,0
-0.75,0,0,0,0,0
-0.5,1.69209106185102,351.787126734886,1.48613558034118,0.408471475995266,79829946031867.2
-0.25,1.11049468116399,39.7545210358044,0.392321759541811,0.108413501137271,26577803569200.5
0,1.01015960998131,11.4801499628177,0.183958739268344,0.0214885217303994,17597996012964.3
0.25,1.72976529953138,22.0711052825406,0.250102969735906,0.0444546985808955,30949452207343.5
0.5,2.42298282849001,29.1011016867804,0.361741740112453,0.0753625739605277,46025781667417.8
0.75,4.01949479620214,53.7189075966835,0.564489317814349,0.127810199009516,65826213454322
1,6.29274811705612,84.5164196512726,0.828173312572629,0.201889376455023,99756298174693.2
1.25,10.446768208306,205.017395706089,1.56599082962061,0.334118342368221,154306024712827
1.5,14.3587454995042,388.000114401642,2.79436287044116,0.51447456457112,246537656832734
1.75,15.9097413031678,551.358935838651,4.62601424685845,0.711762602078025,376114816697902
2,18.0552414074664,673.280268165849,5.85129989928127,0.95182590474624,543252652178467
2.25,22.7691581141792,1120.14030776981,7.49938147209152,1.16573449343091,663381587511829
2.5,26.3651247517697,1798.9336096663,9.64704806819548,1.45734980766346,827897827504775
2.75,25.9854204959831,2495.8211029332,12.2116235337197,1.91593524575893,1.17695225192897E+15
3,23.8944049169514,3218.24392179933,16.0825875912651,2.77945258687445,1.51146357574012E+15
3.25,25.3527009061853,3484.23315348977,19.965446591146,5.31776128945103,1.62422278859192E+15
3.5,26.270602369557,3687.6043664291,20.455198834991,6.28310132170617,1.74910254391112E+15
3.75,28.4910640054799,3404.08388646841,19.9481816813909,5.03603805760564,1.82091709065998E+15
4,30.3904682725119,3631.02281223297,21.2780604601503,5.37177392811268,1.94231156337065E+15
4.25,32.2898725395439,3857.96173799753,22.6079392389097,5.70750979861973,2.06370603608131E+15
4.5,34.1892768065759,4084.90066376209,23.9378180176691,6.04324566912677,2.18510050879198E+15
4.75,36.0886810736079,4311.83958952665,25.2676967964285,6.37898153963381,2.30649498150264E+15
5,37.9880853406399,4538.77851529121,26.5975755751879,6.71471741014086,2.42788945421331E+15
5.25,39.8874896076719,4765.71744105578,27.9274543539473,7.0504532806479,2.54928392692397E+15
5.5,41.7868938747039,4992.65636682034,29.2573331327067,7.38618915115494,2.67067839963464E+15
5.75,43.6862981417359,5219.5952925849,30.5872119114661,7.72192502166198,2.79207287234531E+15
6,45.5857024087679,5446.53421834946,31.9170906902255,8.05766089216903,2.91346734505597E+15
