cp_norm,FC
[-],[g/h]
-0.2,281.634390517241
-0.15,588.568510344828
-0.1,952.624854081632
-0.05,1313.362928
0,1304.71881029411
0.05,2308.65211040462
0.1,2964.06562953367
0.15,3937.05530701755
0.2,4772.18831521739
0.25,5876.22674752476
0.3,6776.02131666667
0.35,7718.98551851852
0.4,8541.33866666667
0.45,9499.84375
0.5,10082.6741666667
0.55,10827.3645833333
0.6,11572.055
0.65,11933.17
0.7,13088.595
0.75,13891.1725
0.8,14691.435
0.85,15493.2408333333
0.9,16294.6608333333
0.95,17096.0808333333
1,17897.5008333333
