cp_norm,FC
[-],[g/h]
-0.2,258.800717285714
-0.15,676.8973625
-0.1,924.174551923077
-0.05,1198.74491190476
0,1307.56603148148
0.05,2288.80135172414
0.1,2803.68414193548
0.15,3553.71129341317
0.2,4500.87151327434
0.25,5403.65275454546
0.3,6375.49635443038
0.35,7067.9238
0.4,8152.90521739131
0.45,9120.33266666667
0.5,9651.74828571429
0.55,10583.1989090909
0.6,11238.2385714286
0.65,12523.8033333333
0.7,13636.32
0.75,14574.915
0.8,15629.4577777778
0.85,16655.0136111111
0.9,17680.5694444444
0.95,18706.1252777778
1,19731.6811111111
