#FS_ID FS_NAME NAVTEQ-LINK
4300124606 MQ101/1_001 -53091910
1000008084 MQ101/2_001 53091910
1000008338 MQ11/1_001 53092441
1000008340 MQ11/1_002 53092441
1000008344 MQ11/2_001 -53092441
1000008346 MQ11/2_002 -53092441
1000008314 MQ12/1_001 -562803191
1000008316 MQ12/1_002 -562803191
1000008320 MQ12/2_001 554344687
1000008322 MQ12/2_002 554344687
1000008302 MQ13/1_001 -53091091
1000008304 MQ13/1_002 -53091091
1000008308 MQ13/2_001 53091091
1000008310 MQ13/2_002 53091091
1000008144 MQ210/1.1_001 53092108
1000008146 MQ210/1.1_002 53092108
1000008152 MQ210/1.2_001 562758997
1000008150 MQ210/1.2_002 562758997
1000008156 MQ210/2.1_001 -53092107
1000008158 MQ210/2.1_002 -53092107
1000008162 MQ210/2.2_001 -53092103
1000008164 MQ210/2.2_002 -53092103
1000008060 MQ21/1_001 53091623
1000008062 MQ21/1_002 53091623
1000008066 MQ21/2_001 -547337856
1000008068 MQ21/2_002 -547337856
1000008182 MQ220/1.1_001 -53092101
1000008186 MQ220/1.2_001 53090842
1000008188 MQ220/1.2_002 53090842
1000008192 MQ220/2_001 -562758985
1000008194 MQ220/2_002 -562758985
1000008198 MQ220/2_001 -562758985
1000008200 MQ220/2_002 -562758985
1000008072 MQ22/1_001 -53091624
1000008076 MQ22/2_001 53091624
1000008266 MQ230/1_001 53114724
1000008268 MQ230/1_002 53114724
1000008272 MQ230/2_001 -53114724
1000008274 MQ230/2_002 -53114724
1000008362 MQ23/1_001 -53091684
1000008364 MQ23/1_002 -53091684
1000008368 MQ23/2_001 53091683
1000008370 MQ23/2_002 53091683
1000008118 MQ31/1_001 -53090662
1000008120 MQ31/1_002 -53090662
1000008124 MQ31/2_001 67622330
1000008126 MQ31/2_002 67622330
1000008128 MQ31/2_003 67622330
1000008228 MQ32/1_001 53091913
1000008230 MQ32/1_002 53091913
1000008234 MQ32/2_001 -53090700
1000008236 MQ32/2_002 -53090700
1000008240 MQ33/1_001 -53090808
1000008242 MQ33/1_002 -53090808
1000008244 MQ33/1_003 -53090808
1000008248 MQ33/2_001 547341842
1000008250 MQ33/2_002 547341842
1000008290 MQ34/1_001 -562768092
1000008292 MQ34/1_002 -562768092
1000008296 MQ34/2_001 53090889
1000008298 MQ34/2_002 53090889
1000008278 MQ41/1_001 -53091956
1000008280 MQ41/1_002 -53091956
1000008284 MQ41/2_001 558253322
1000008286 MQ41/2_002 558253322
1000008254 MQ42/1_001 -53091100
1000008256 MQ42/1_002 -53091100
1000008260 MQ42/2_001 562759001
1000008262 MQ42/2_002 562759001
1000008216 MQ51/1_001 53091865
1000008218 MQ51/1_002 53091865
1000008222 MQ51/2_001 -53090737
1000008224 MQ51/2_002 -53090737
1000008168 MQ52/1_001 53092089
1000008170 MQ52/1_002 53092089
1000008172 MQ52/1_003 53092089
1000008176 MQ52/2_001 -53092090
1000008178 MQ52/2_002 -53092090
1000008132 MQ53/1_001 53271532
1000008134 MQ53/1_002 53271532
1000008138 MQ53/2_001 -53271533
1000008140 MQ53/2_002 -53271533
1000008326 MQ54/1_001 53091741
1000008328 MQ54/1_002 53091741
1000008332 MQ54/2_001 -67622230
1000008334 MQ54/2_002 -67622230
1000008096 MQ61/1_001 -547341680
1000008098 MQ61/1_002 -547341680
1000008102 MQ61/2_001 53091500
1000008104 MQ61/2_002 53091500
1000008374 MQ62/1_001 53091493
1000008376 MQ62/1_002 53091493
1000008380 MQ62/2_001 -53091494
1000008382 MQ62/2_002 -53091494
1000008350 MQ63/1_001 -53091655
1000008352 MQ63/1_002 -53091655
1000008356 MQ63/2_001 53091713
1000008358 MQ63/2_002 53091713
1000008108 MQ71/1_001 53090680
1000008112 MQ71/2_001 -67622287
1000008114 MQ71/2_002 -67622287
1000008088 MQ72/1_001 -53091371
1000008092 MQ72/2_001 53092038
1000008204 MQ81/1_001 -53092024
1000008206 MQ81/1_002 -53092024
1000008210 MQ81/2_001 53090797
1000008212 MQ81/2_002 53090797
