#DETEKTREF,INT_BEGIN,Q_KFZ,V_KFZ,Q_PKW,V_PKW,Q_LKW,V_LKW
1000008084,00:00:00,48,30,48,30,0,0
1000008084,00:10:00,30,20,24,16,6,5
1000008084,00:20:00,54,37,48,37,6,5
1000008084,00:30:00,12,12,12,12,0,0
1000008084,00:40:00,18,10,18,10,0,0
1000008084,00:50:00,12,10,12,10,0,0
1000008084,01:00:00,12,11,6,6,6,5
1000008084,01:10:00,12,10,12,10,0,0
1000008084,01:20:00,0,0,0,0,0,0
1000008084,01:30:00,6,4,6,4,0,0
1000008084,01:40:00,6,7,6,7,0,0
1000008084,01:50:00,0,0,0,0,0,0
1000008084,02:00:00,0,0,0,0,0,0
1000008084,02:10:00,0,0,0,0,0,0
1000008084,02:20:00,0,0,0,0,0,0
1000008084,02:30:00,6,5,6,5,0,0
1000008084,02:40:00,12,10,6,5,6,4
1000008084,02:50:00,0,0,0,0,0,0
1000008084,03:00:00,0,0,0,0,0,0
1000008084,03:10:00,0,0,0,0,0,0
1000008084,03:20:00,0,0,0,0,0,0
1000008084,03:30:00,12,10,12,10,0,0
1000008084,03:40:00,12,11,12,11,0,0
1000008084,03:50:00,6,5,6,5,0,0
1000008084,04:00:00,0,0,0,0,0,0
1000008084,04:10:00,12,10,12,10,0,0
1000008084,04:20:00,12,5,12,5,0,0
1000008084,04:30:00,12,9,6,4,6,5
1000008084,04:40:00,18,11,18,11,0,0
1000008084,04:50:00,24,15,18,10,6,5
1000008084,05:00:00,60,33,54,33,6,4
1000008084,05:10:00,84,35,84,35,0,0
1000008084,05:20:00,102,43,96,44,6,4
1000008084,05:30:00,108,37,96,37,12,10
1000008084,05:40:00,138,47,126,47,12,10
1000008084,05:50:00,120,50,96,45,24,14
1000008084,06:00:00,120,41,114,42,6,4
1000008084,06:10:00,216,48,204,48,12,9
1000008084,06:20:00,204,46,192,46,12,8
1000008084,06:30:00,372,48,342,44,30,19
1000008084,06:40:00,438,41,402,41,36,15
1000008084,06:50:00,666,49,624,49,42,20
1000008084,07:00:00,594,47,576,47,18,7
1000008084,07:10:00,672,48,630,48,42,28
1000008084,07:20:00,756,44,702,44,54,26
1000008084,07:30:00,744,24,690,23,54,15
1000008084,07:40:00,930,18,876,18,54,14
1000008084,07:50:00,864,40,798,40,66,32
1000008084,08:00:00,780,39,732,39,48,14
1000008084,08:10:00,798,41,780,42,18,9
1000008084,08:20:00,798,46,756,46,42,22
1000008084,08:30:00,576,39,540,38,36,14
1000008084,08:40:00,696,20,672,20,24,9
1000008084,08:50:00,480,46,468,46,12,9
1000008084,09:00:00,432,48,426,48,6,5
1000008084,09:10:00,372,43,342,43,30,14
1000008084,09:20:00,354,49,348,49,6,5
1000008084,09:30:00,378,49,366,49,12,4
1000008084,09:40:00,378,46,366,47,12,8
1000008084,09:50:00,312,47,288,47,24,17
1000008084,10:00:00,312,47,276,47,36,22
1000008084,10:10:00,414,48,390,48,24,15
1000008084,10:20:00,288,49,276,49,12,8
1000008084,10:30:00,306,48,282,48,24,13
1000008084,10:40:00,264,50,246,50,18,15
1000008084,10:50:00,258,45,246,45,12,4
1000008084,11:00:00,216,50,204,51,12,9
1000008084,11:10:00,294,51,276,51,18,10
1000008084,11:20:00,318,50,300,50,18,14
1000008084,11:30:00,288,50,264,49,24,15
